mean,std,max,min,ptp,rms,energy,abs_mean,argmax,argmin,fft_mean,fft_std,fft_max,fft_peak_bin,fft_energy,distance_cm,source_file,label
-2.70263671875,423.04796393313325,1809.0,-1812.0,3621.0,423.0565967257846,1466178634.0,258.3955078125,6438.0,6414.0,4243.399435049375,38050.941954281065,1032121.7901065227,174.0,6005712909864.001,10,l10.txt,laptop
-3.6654052734375,378.7005565841053,1655.0,-1653.0,3308.0,378.71829471644185,1174958463.0,236.6666259765625,6459.0,6435.0,3789.5730255335357,34064.95065549955,861187.6957890709,176.0,4813080735017.001,10,l10.txt,laptop
-3.1331787109375,349.1059863561781,1493.0,-1593.0,3086.0,349.1200459993019,998480335.0,222.4796142578125,6491.0,2.0,4389.925374425049,31289.704895401246,794970.4115753287,174.0,4090105065429.0005,10,l10.txt,laptop
-5.07666015625,367.7261398087048,1568.0,-1588.0,3156.0,367.7611811719028,1107953962.0,229.13134765625,6508.0,6484.0,4519.743154248562,32976.75851054166,855104.2703515876,174.0,4539044504136.001,10,l10.txt,laptop
-10.9443359375,387.9428097161958,1702.0,-1675.0,3377.0,388.09715549023207,1233874142.0,232.939697265625,16.0,6505.0,4839.450699677493,34801.347038551015,850261.0662750799,176.0,5057967896850.0,10,l10.txt,laptop
-5.71142578125,634.1072506666102,2390.0,-2457.0,4847.0,634.132971649024,3294204934.0,418.220703125,20.0,0.0,6077.62329992329,57067.7724328813,2302436.216241465,174.0,13494158432784.002,11,l11.txt,laptop
-7.1397705078125,709.2674528678189,3036.0,-2761.0,5797.0,709.3033878535389,4121487737.0,451.4996337890625,4.0,27.0,6805.717305548862,63832.44912334831,2515760.320505585,174.0,16883324633377.004,11,l11.txt,laptop
-2.9901123046875,616.0494644517248,2871.0,-2926.0,5797.0,616.0567209460924,3109076037.0,406.8487548828125,21.0,0.0,6396.309654939864,55384.81475800121,2196365.7042503417,174.0,12735075808769.004,11,l11.txt,laptop
-6.3431396484375,733.5784045947637,3066.0,-3169.0,6235.0,733.6058281586907,4408750171.0,463.5218505859375,51.0,29.0,6550.716308014733,66068.84167736181,2588216.57935176,174.0,18059591260245.0,11,l11.txt,laptop
-7.703369140625,721.4293980464076,2665.0,-2681.0,5346.0,721.4705248738293,4264097532.0,464.75,7361.0,7385.0,8330.91810888722,64762.17094885548,2011873.4262934718,174.0,17467735599490.0,11,l11.txt,laptop
